# Tutorial-scale subset of the Central Asia thermal-history compilation from
# Boone et al. (2025), Communications Earth & Environment 6, 1015.
# DOI of full dataset: https://doi.org/10.58024/AGUA6E7B32B9
# Original source: https://github.com/samuelcboone/ThermoPlates (Example_data_Central_Asia.csv).
# Data downsampled to 5 Myr cadence for tutorial use; full per-Myr resolution
# is available on the EarthBank platform (https://earthbank.auscope.org.au/).
# Columns: lat, lon, sample_name, TOAGE (Ma), FROMAGE (Ma), OnlyCooling (degC),
#          TempDiff (degC, uncertainty), Region (id), Sub-Region (id).
lat,lon,sample_name,TOAGE,FROMAGE,OnlyCooling,TempDiff,Region,Sub-Region
41.04972222,75.65594444,AI-69,300,300.999,,,1,1
41.04972222,75.65594444,AI-69,295,295.999,,,1,1
41.04972222,75.65594444,AI-69,290,290.999,,,1,1
41.04972222,75.65594444,AI-69,285,285.999,,,1,1
41.04972222,75.65594444,AI-69,280,280.999,,,1,1
41.04972222,75.65594444,AI-69,275,275.999,,,1,1
41.04972222,75.65594444,AI-69,270,270.999,,,1,1
41.04972222,75.65594444,AI-69,265,265.999,,,1,1
41.04972222,75.65594444,AI-69,260,260.999,,,1,1
41.04972222,75.65594444,AI-69,255,255.999,,,1,1
41.04972222,75.65594444,AI-69,250,250.999,,,1,1
41.04972222,75.65594444,AI-69,245,245.999,,,1,1
41.04972222,75.65594444,AI-69,240,240.999,,,1,1
41.04972222,75.65594444,AI-69,235,235.999,,,1,1
41.04972222,75.65594444,AI-69,230,230.999,,,1,1
41.04972222,75.65594444,AI-69,225,225.999,,,1,1
41.04972222,75.65594444,AI-69,220,220.999,,,1,1
41.04972222,75.65594444,AI-69,215,215.999,159.767881,1.823448466,1,1
41.04972222,75.65594444,AI-69,210,210.999,150.6506386,1.788442814,1,1
41.04972222,75.65594444,AI-69,205,205.999,141.516308,1.915941579,1,1
41.04972222,75.65594444,AI-69,200,200.999,131.8758835,2.355916893,1,1
41.04972222,75.65594444,AI-69,195,195.999,118.73475,4.091442308,1,1
41.04972222,75.65594444,AI-69,190,190.999,66.03781216,9.983744732,1,1
41.04972222,75.65594444,AI-69,185,185.999,34.03552258,1.566526189,1,1
41.04972222,75.65594444,AI-69,180,180.999,30.73505136,0.149639812,1,1
41.04972222,75.65594444,AI-69,175,175.999,30.02166506,0.137331727,1,1
41.04972222,75.65594444,AI-69,170,170.999,29.3334862,0.139290407,1,1
41.04972222,75.65594444,AI-69,165,165.999,28.621875,0.147180575,1,1
41.04972222,75.65594444,AI-69,160,160.999,27.89631822,0.136035313,1,1
41.04972222,75.65594444,AI-69,155,155.999,27.25051668,0.110251956,1,1
41.04972222,75.65594444,AI-69,150,150.999,26.72455521,0.100572891,1,1
41.04972222,75.65594444,AI-69,145,145.999,26.28911272,0.081165703,1,1
41.04972222,75.65594444,AI-69,140,140.999,25.93286193,0.06764942,1,1
41.04972222,75.65594444,AI-69,135,135.999,25.59461483,0.06764942,1,1
41.04972222,75.65594444,AI-69,130,130.999,25.25636773,0.06280523,1,1
41.04972222,75.65594444,AI-69,125,125.999,24.94362073,0.062408377,1,1
41.04972222,75.65594444,AI-69,120,120.999,24.62863848,0.063672134,1,1
41.04972222,75.65594444,AI-69,115,115.999,24.30189037,0.059964587,1,1
41.04972222,75.65594444,AI-69,110,110.999,24.03812659,0.050949796,1,1
41.04972222,75.65594444,AI-69,105,105.999,23.78337761,0.050949796,1,1
41.04972222,75.65594444,AI-69,100,100.999,23.52862863,0.030227869,1,1
41.04972222,75.65594444,AI-69,95,95.999,23.42999101,0.007064868,1,1
41.04972222,75.65594444,AI-69,90,90.999,,,1,1
41.04972222,75.65594444,AI-69,85,85.999,,,1,1
41.04972222,75.65594444,AI-69,80,80.999,,,1,1
41.04972222,75.65594444,AI-69,75,75.999,,,1,1
41.04972222,75.65594444,AI-69,70,70.999,23.59817838,0.007313593,1,1
41.04972222,75.65594444,AI-69,65,65.999,23.55522028,0.040945916,1,1
41.04972222,75.65594444,AI-69,60,60.999,23.32307598,0.105403959,1,1
41.04972222,75.65594444,AI-69,55,55.999,22.39827379,0.34644721,1,1
41.04972222,75.65594444,AI-69,50,50.999,20.97583237,0.119649842,1,1
41.04972222,75.65594444,AI-69,45,45.999,20.67348862,0.045673476,1,1
41.04972222,75.65594444,AI-69,40,40.999,20.53253508,0.019895288,1,1
41.04972222,75.65594444,AI-69,35,35.999,20.3420008,0.097607963,1,1
41.04972222,75.65594444,AI-69,30,30.999,19.85396099,0.125106684,1,1
41.04972222,75.65594444,AI-69,25,25.999,18.60561272,0.413641618,1,1
41.04972222,75.65594444,AI-69,20,20.999,16.17716145,0.409693655,1,1
41.04972222,75.65594444,AI-69,15,15.999,15.29525146,0.004816223,1,1
41.04972222,75.65594444,AI-69,10,10.999,,,1,1
41.04972222,75.65594444,AI-69,5,5.999,,,1,1
41.04972222,75.65594444,AI-69,0,0.999,,,1,1
39.082,70.609,GM-19,300,300.999,,,1,12
39.082,70.609,GM-19,295,295.999,,,1,12
39.082,70.609,GM-19,290,290.999,,,1,12
39.082,70.609,GM-19,285,285.999,,,1,12
