LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,34,E723.1,,41,N,79,E,Asia,China,,"Tarim,Xijiang,Qinghai:from the Biedeier River to Kumalike",Lower,Mississippian,,,Gypsum,Yeyungou,,"Liang Yun-hai,Li Wen-qian(2000)"
E,35,E724,,37.5,N,105,E,Asia,China,,Chaidam:Zhongwei,Lower,Mississippian,,,Evaporites,,,Wang Hong-zhen(1985)
E,36,E725,,37,N,105,E,Asia,China,,Chaidam:Jingyuan,Lower,Mississippian,,,Evaporites,,,Wan Zhen-ji(1990)
E,37,E726,,38,N,96,E,Asia,China,,Chaidam:Erlongbuluke,Lower,Mississippian,,,Evaporites,,,"The Stratigraphic Team of Qilianshan,Academia Sinica(1958)"
E,38,E727,,39.1,N,95.8,E,Asia,China,,"N. China:Subei,Gansu",Lower,Mississippian,Tournaisian,,Anhydrites,Chengqianggou,,The Gansu Regional Geological Survey Team(1987)
E,39,E728,,37.1,N,103,E,Asia,China,,"N. China:Tianzhu,Gansu",Lower,Mississippian,Tournaisian,,Anhydrites,Qianheshan,,The Gansu Regional Geological Survey Team(1987)
E,40,E729,,37.4,N,103.8,E,Asia,China,,"N. China:Jingtai,Gansu",Lower,Mississippian,Tournaisian,,Anhydrites,Qianheshan,,The Gansu Regional Geological Survey Team(1987)
E,41,E730,,39,N,96.8,E,Asia,China,,"N. China:Subei,Gansu",Middle,Mississippian,Visean,,Gypsum,Huantuoala,,The Compiling Group of the Regional Stratigraphy Chart of Qinghai(1980)
E,42,E731,,38.8,N,105.7,E,Asia,China,,"N. China:Alax Left Banner,Neimongol",Lower,Mississippian,Tournaisian,,Gypsum,Qianheshan,,The Bureau of Geology and Mineral Resources of Neimongol Autonomous Region(1991)
E,43,E732,,22.1,N,111.9,E,Asia,China,,S. China:Yangchun,Middle,Mississippian,,,Gypsum,Zimenqiao,,The Bureau of Geology and Mineral Resources of Guangdong Province(1988)
E,44,E733,,27.1,N,111,E,Asia,China,,"S. China:Longhui,Hunan",Middle,Mississippian,Visean,,Evaporites,Zimenqiao,solution breccia,Liu Hong-fu et al.(1993)
E,45,E734,,27,N,111.7,E,Asia,China,,"S. China:Qidong,Hunan",Middle,Mississippian,Visean,,Anhydrites,Zimenqiao,,Liu Hong-fu et al.(1993)
E,46,E735,,27.3,N,111.8,E,Asia,China,,"S. China:Shaidong,Hunan",Middle,Mississippian,Visean,,Anhydrites,Datang,,The Bureau of Geology and Mineral Resources of Hunan Province(1988)
E,47,E736,,27,N,111.3,E,Asia,China,,"S. China:Shaoyang,Hunan",Middle,Mississippian,Visean,,Anhydrites,Datang,,The Bureau of Geology and Mineral Resources of Hunan Province(1988)
E,48,E737,,27.4,N,112.2,E,Asia,China,,"S. China:Shuangfeng,Hunan",Middle,Mississippian,Visean,,Anhydrites,Zimenqiao,,The Bureau of Geology and Mineral Resources of Hunan Province(1988),
E,49,E738,,26.7,N,110.6,E,Asia,China,,"S. China:Wugang,Hunan",Middle,Mississippian,Visean,,Anhydrites,Zimenqiao,,The Bureau of Geology and Mineral Resources of Hunan Province(1988),
E,50,E739,,27.7,N,111.4,E,Asia,China,,"S. China:Lengshuuijiang,Hunan",Middle,Mississippian,Visean,,Anhydrites,Zimenqiao,,Liu et al.(1993),
E,51,E740,,26.9,N,114.2,E,Asia,China,,"S. China:Yongxing,Jiangxi",Middle,Mississippian,Visean,,Anhydrites,Shidengxi,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,52,E741,,34,N,119.9,E,Asia,China,,"S. China:Binhai,Jiangxi",Middle,Mississippian,Visean,,Anhydrites,Kaolishan,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,53,E742,,33.2,N,118.8,E,Asia,China,,"S. China:Hongping,Jiangxi",Middle,Mississippian,Visean,,Evaporites,Kaolishan,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,54,E743,,27.1,N,113.9,E,Asia,China,,"S. China:Lianhus,Jiangxi",Middle,Mississippian,Visean,,Evaporites,Shidengxi,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,55,E744,,23.9,N,109.7,E,Asia,China,,"S. China:Xiangzhou,Guangxi",Lower,Mississippian,Tournaisian,,Gypsum,Yanguan,,The Bureau of Geology and Mineral Resources of Guangxi Province(1985),
E,56,E752,,75,N,99,E,Asia,C. I. S. (frm USSR),,North Siberian,L - M,Mississippian,"Tournaisian,Visean",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,57,E753,,46,N,72,E,Asia,C. I. S. (frm USSR),,Chu-Sarysu,L - M,Mississippian,"Tournaisian,Visean",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,58,E754,,42,N,75,E,Asia,C. I. S. (frm USSR),,Mid-Tien Shan Basin,M - U,Mississippian,"Visean,Serpukhovian",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,59,E755,,52,N,95,E,Asia,C. I. S. (frm USSR),,Tuva,Middle,Mississippian,,,Evaporites,,analcime bearing lake beds,Buryanova(1960),
E,60,E756,,33,N,78,E,Asia,India,,Spiti,Lower,Mississippian,Tournaisian,,Gypsum,Lipak,,Bhargava et al.(1991),see also Thakur(1992)
E,61,E757,,32.5,N,77.5,E,Asia,India,,,Lower,Mississippian,Tournaisian,,Gypsum,Lipak,,Bagati(1983),
E,62,E758,,32,N,78,E,Asia,India,,,Lower,Mississippian,Tournaisian,,Gypsum,Lipak,,Bagati(1983),
E,63,E759,,32.5,N,77.75,E,Asia,India,,Spiti,Lower,Mississippian,Tournaisian,,Gypsum,Lipak,,Garznati et al.(1996),
E,64,E759.1,,17,N,105,E,Asia,Iran,,,Lower,Mississippian,Tournaisian,,Gypsum,Shishtu,,"Yazdi(1999, Fig. 5)"
E,65,E760,,16,N,100.75,E,Asia,Thailand,,,L - M,Mississippian,,,Evaporites,,,Hite(1973)
E,66,E760.1,,16,N,100.75,E,Asia,Thailand,,Phicit-Nakhon Sawon,L - M,Mississippian,,,Evaporites,,,Pisutha-Arnond et al.(1997)
E,67,E761,,-24,S,115.25,E,Australia,,,W. Australia:Carnarvon Basin,L - M,Mississippian,,,Evaporites,Moogooree,,"Radke,Nicoll(1981)"
E,68,E761.1,,-28.75,S,115.25,E,Australia,,,W. Australia:Coolcalalaya Sub-basin,Middle,Mississippian,"""probable Visean or Namurian""",,Gypsum,,,"Mory,Iasky(1996, p. 11)"
E,69,E762,,54,N,15,E,Europe,"Britain,Poland",,from Britain east to northwestern Poland,L - M,Mississippian,,,Evaporites,Dinantian,,"Ziegler(1982, Encl. 9)"
E,70,E763,,43.5,N,28.5,E,Europe,Bulgaria,,Dobrudze Basin,L - M,Mississippian,"Tournaisian,Visean",,Evaporites,,,Petroconsultants(1977)
E,71,E764,,67,N,55,E,Europe,C. I. S. (frm USSR),,Pechora-Novaya Zemlya Basin,Middle,Mississippian,Visean,,Evaporites,,,"Zharkov(1981, Figs. 9,21, pp. 49,51,52)"
E,72,E765,,50,N,50,E,Europe,C. I. S. (frm USSR),,East European Volga-Ural Basin,L-M-U,Mississippian,"Tournaisian,Visean,Serpukhovian",,Evaporites,,to the south of coeval Russian Platform coals,"Zharkov(1981, Figs. 9,21, pp. 49,51,52)"
E,73,E766,,51,N,5,E,Europe,"N. France,Belgium",,Belgium,L - M,Mississippian,,,Evaporites,,,Rouchy(1986)and Rouchy et al.(1987)
E,74,E767,,53,N,-8,W,Europe,Ireland,,,Middle,Mississippian,Visean,,Evaporites,,,West et al.(1968)
E,75,E768,,54.5,N,-8,W,Europe,Ireland,,Lough Allen Basin,Lower,Mississippian,Tournaisian,,Evaporites,Kilcoo and Boyle Sandstones,calcretes and evaporites,Philcox et al.(1992)
E,76,E769,,72,N,32,E,Europe,Norway,,Nordkapp Basin,M - U,Mississippian,Visean-Serpukhovian,,Evaporites,,,"Johansen et al.(1993, Fig. 5)"
E,77,E769.1,,54.5,N,20,E,Europe,Poland,,western Pomerania,Middle,Mississippian,Visean,,Evaporites,,,"Ziegler(1988,PL. 23)"
E,78,E770,,44,N,28,E,Europe,Rumania,,Dobrudga Basin,L - M,Mississippian,"Tournaisian,Visean",,Evaporites,,,"Zharkov(1981, Figs. 9,21)"
E,79,E771,,53,N,-1,W,United Kingdom,England,,Derbyshire,Middle,Mississippian,Visean,,Evaporites,,,Walkden(1974)
E,80,E772,,56,N,3,E,United Kingdom,England,,"Craven Basin nr Liverpool,and in the Central North Sea",Middle,Mississippian,Visean,,Evaporites,,,"Ziegler(1988,PL. 23)",
E,81,E773,,56,N,-4,W,United Kingdom,Scotland,,Edinburgh and West Lothian areas,L - M,Mississippian,,,Gypsum,Cementstone Group,,"Cameron,Stephenson(1985, p. 61)",
E,82,E774,,52,N,-4,W,United Kingdom,Wales,,South Wales,L - M,Mississippian,,,Evaporites,Main Limestone Series,,Bhatt(1975),
E,83,E775,,50,N,-100,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",L - M,Mississippian,,,Evaporites,,,"Fuller,Porter(1969)discuss evaporites frm Alberta,Saskatchewan and North Dakota",
E,84,E776,,50,N,-115,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",L - M,Mississippian,,,Evaporites,,,"Meijer Drees(1986)sums. the units pres. In S. portion of the NW Terr.,Alberta,B. Columbia",
E,85,E777,,60,N,-125,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",L - M,Mississippian,,,Evaporites,,,"Meijer Drees(1986)sums. the units pres. In S. portion of the NW Terr.,Alberta,B. Columbia",
E,86,E778,,51,N,-114,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",Middle,Mississippian,Visean,,Evaporites,Mount Head,,"Al-Aasm,Lu(1993) cite evaporites frm W of Calgary and E of the Tintina",
E,87,E779,,45,N,-64,W,N. America,Canada,,Maritime Provinces and Newfoundland:Maritime Provinces,Middle,Mississippian,Visean,,Evaporites,Windsor Group and correlatives,,Pearson(1963);Calder(1998),
E,88,E780,,47,N,-67,W,N. America,Canada,,Maritime Provinces and Newfoundland:Plaster Rock,Middle,Mississippian,Visean,,Evaporites,Windsor Group and correlatives,,Pearson(1963);Calder(1998),
E,89,E781,,48,N,-58,W,N. America,Canada,,Maritime Provinces and Newfoundland:southwestern Newfoundland,Middle,Mississippian,Visean,,Gypsum,Codroy Group,,Rose et al.(1970),"see Knight,1983, for an account of these Visean beds "
E,90,E782,,45,N,-52,W,N. America,Canada,,Maritime Provinces and Newfoundland:Whale Basin off SW Newfound.,Middle,Mississippian,,,Evaporites,Windsor Group ,,"Balkwill,Legall(1989)",
E,91,E783,,49,N,-57,W,N. America,Canada,,Maritime Provinces and Newfoundland:Deer Lake Basin,Middle,Mississippian,,,Evaporites,,lacustrine analcime,"Gail,Hyde(1989)",
E,92,E783.1,,46.5,N,-60,W,,,,"offshore Nova Scotia, boreholes",,,,,,,,,
E,93,E784,,69.5,N,-146,W,N. America,United States,,Alaska,Middle,Mississippian,Meramec,,Evaporites,"Kayak,lower Alapah",,Gruzlovic(1991),"see also Mamet,Batz(1989)"
E,94,E785,,37,N,-90,W,N. America,United States,,Illinois:Illinois Basin in southern Illinois,Middle,Mississippian,Meramecian; later Visean,,Evaporites,St. Louis ,,"Schutter(written Comm.,1990)",
E,95,E786,,38,N,-87,W,N. America,United States,,Indiana:southwestern Indiana,Middle,Mississippian,Meramecian,,Evaporites,,,Bundy(1956),
E,96,E787,,42,N,-93,W,N. America,United States,,Iowa,Middle,Mississippian,,,Evaporites,,,"Witzke,Mckay(1987)",
E,97,E788,,38,N,-96,W,N. America,United States,,Kansas,Middle,Mississippian,,,Anhydrites,St. Louis Limestone ,,Goebel(1968),
E,98,E789,,37,N,-87,W,N. America,United States,,Kentucky:southern Kentucky and adj. western Tennessee,Middle,Mississippian,,,Anhydrites,,anhydrite nodule-like chert nodules,Milliken(1979),
E,99,E790,,43,N,-85,W,N. America,United States,,Michigan:Michigan Basin,L - M,Mississippian,Osage through Meramec,"Chester age strata are abs owing to a major uncon. beneath the Morrow,Penn.",Evaporites,,,Cohee(1979),see also Harrell et al.(1991)
E,100,E791,,46,N,-112,W,N. America,United States,,Montana:southwestern Montana,Middle,Mississippian,,,Evaporites,Madison Group,,Middleton(1961),
E,101,E792,,35,N,-106,W,N. America,United States,,New Mexico,L - M,Mississippian,Osagean,,Gypsum,Espiritu Santo,,Armstrong(1975b),
E,102,E793,,47,N,-100,W,N. America,United States,,North Dakota:Willliston Basin on the U.S. side,Lower,Mississippian,"E. Mississippian,Tournaisian",,Evaporites,Madison Group,,Reed(1963),
E,103,E794,,36,N,-87,W,N. America,United States,,Tennessee:central Tennessee,Middle,Mississippian,,,Evaporites,,"celestite nodules,where the celestite is consid to have replaced anhy. nod.of sabkha type","Chowns,Elkins(1974)",
E,104,E795,,37,N,-80,W,N. America,United States,,Virginia:south central Virginia,L-M-U,Mississippian,,,Evaporites,,,Cooper(1966),
E,105,E795.1,,47,N,-104,W,N. America,United States,,Williston Basin(Montana and North Dakota,Lower,Mississippian,,,Evaporites,Madison Group,,Johnson(1989),
CA,106,CA1356.1,,-22,S,144,E,Australia,Queensland,,,Middle,Mississippian,mid-Visean,,Calcretes,Ducabrook,,Parker(2001),"see Olgers,1972 for information about the Ducabrook Formation"
CA,107,CA796,,51,N,5,E,Europe,"Belgium,Germany",,Belgium and adjacent Germany,L-M-U,Mississippian,,,Calcretes,,,"Wright,Peters(1989)",
